file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Kit mueble elevado basico 48x38 - LVM Eco 48x38CM.svg,Kit mueble elevado basico 48x38 - LVM Eco 48x38CM,ELEVADO,basico,48X38,NA,NA,NA,3,3cfd4665-0903-4f7e-bf75-f469580aea69,BAN05,0121,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 124X48 con manijas.svg,Mueble a piso Básico LVM 124X48 con manijas,A PISO,Básico,124X48,CON MANIJAS,NA,NA,1,93e4c896-a18c-4d0d-91e2-fa7073241753,BAN05,0061,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 con manijas.svg,Mueble a piso Básico LVM 40X30 con manijas,A PISO,Básico,40X30,CON MANIJAS,NA,NA,3,186503ab-aac5-44cc-8b7b-a810296125a9,BAN05,0108,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 sin manijas.svg,Mueble a piso Básico LVM 40X30 sin manijas,A PISO,Básico,40X30,NA,NA,NA,1,aa5d1a9d-5c9f-4599-9fa7-b238ad3eaa75,BAN05,0111,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manija negra.svg,Mueble a piso Básico LVM 48x38 con manija negra,A PISO,Básico,48X38,CON MANIJAS,NA,NA,2,620a9cf4-51a6-4884-a2ef-eb95a39299b4,BAN05,0002,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manijas.svg,Mueble a piso Básico LVM 48x38 con manijas,A PISO,Básico,48X38,CON MANIJAS,NA,NA,2,620a9cf4-51a6-4884-a2ef-eb95a39299b4,BAN05,0002,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48X43 con manijas.svg,Mueble a piso Básico LVM 48X43 con manijas,A PISO,Básico,48X43,CON MANIJAS,NA,NA,1,e528e938-673a-4a9d-a7be-fb81a1f71e61,BAN05,0110,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63x48 con manijas.svg,Mueble a piso Básico LVM 63x48 con manijas,A PISO,Básico,63X48,CON MANIJAS,NA,NA,3,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,BAN05,0092,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63X48 manija negra.svg,Mueble a piso Básico LVM 63X48 manija negra,A PISO,Básico,63X48,manija negra,NA,NA,3,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,BAN05,0092,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 79x48 con manija.svg,Mueble a piso Básico LVM 79x48 con manija,A PISO,Básico,79X48,CON MANIJAS,NA,NA,2,2ca71341-4991-460c-95ec-805f98c1cb1f,BAN05,0099,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 79x48 con manijas.svg,Mueble a piso Básico LVM 79x48 con manijas,A PISO,Básico,79X48,CON MANIJAS,NA,NA,2,2ca71341-4991-460c-95ec-805f98c1cb1f,BAN05,0099,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 94x48 con manija.svg,Mueble a piso Básico LVM 94x48 con manija,A PISO,Básico,94X48,CON MANIJAS,NA,NA,2,418e2d7c-dd01-46e9-83b3-d13fcd5c1ec6,BAN05,0101,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Eurocaribe LVM 44.5X43.5.svg,Mueble a piso Eurocaribe LVM 44.5X43.5,A PISO,Eurocaribe,44.5X43.5,NA,NA,NA,1,55d0747b-a2af-424c-9408-4164f36bd7fc,BAN05,0138,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Otus LVM 63X48.svg,Mueble a piso Otus LVM 63X48,A PISO,Otus,63X48,NA,NA,NA,2,c74c1a36-0e91-4ade-aa4e-782d61166bfe,BAN12,0087,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 48x43.svg,Mueble a piso Valdez LVM 48x43,A PISO,Valdez,48X43,NA,NA,NA,3,cff9c5dd-b254-4803-b600-752bd437baca,BAN05,0039,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Valdez LVM 63x48.svg,Mueble a piso Valdez LVM 63x48,A PISO,Valdez,63X48,NA,NA,NA,3,aa47233a-a9bc-40c1-89b1-67f41a26068f,BAN05,0117,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Vega LVM 63X48.svg,Mueble a piso Vega LVM 63X48,A PISO,Vega,63X48,NA,NA,NA,1,1e11e955-22c2-4832-9887-9d1994e9f2b5,BAN05,0132,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 122X47 sin manijas.svg,Mueble elevado Básico LVM 122X47 sin manijas,ELEVADO,Básico,122X47,NA,NA,NA,1,40eda6a7-9e1a-4b36-866f-8ef8dbbb3af4,BAN24,0016,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 con manijas.svg,Mueble elevado Básico LVM 40X30 con manijas,ELEVADO,Básico,40X30,CON MANIJAS,NA,NA,1,7d126220-fedb-4f85-939d-3604fe38a9fc,BAN05,0113,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 40X30 sin manijas.svg,Mueble elevado Básico LVM 40X30 sin manijas,ELEVADO,Básico,40X30,NA,NA,NA,2,ef14323d-55aa-47c6-97b8-2286bd49c2e8,BAN05,0112,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X38 con manija.svg,Mueble elevado Básico LVM 48X38 con manija,ELEVADO,Básico,48X38,CON MANIJAS,NA,NA,6,6d48d031-b645-4df6-97ec-7920829deadc,BAN05,0022,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=6; would_overwrite_refs=6; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X38 sin manijas.svg,Mueble elevado Básico LVM 48X38 sin manijas,ELEVADO,Básico,48X38,NA,NA,NA,3,3cfd4665-0903-4f7e-bf75-f469580aea69,BAN05,0121,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X43 con manijas.svg,Mueble elevado Básico LVM 48X43 con manijas,ELEVADO,Básico,48X43,CON MANIJAS,NA,NA,3,af4ab244-ea47-4c98-b9e3-b28ae6ac5cf9,BAN05,0079,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48x43 sin manijas.svg,Mueble elevado Básico LVM 48x43 sin manijas,ELEVADO,Básico,48X43,NA,NA,NA,5,7f2a924f-9dac-47f1-9260-f64dee3bf4b2,BAN05,0120,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=5; would_overwrite_refs=5; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 con manijas.svg,Mueble elevado Básico LVM 63X48 con manijas,ELEVADO,Básico,63X48,CON MANIJAS,NA,NA,3,5a557701-f0e3-4141-9c6c-fb24058b2c8d,BAN05,0010,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 puerta shaker.svg,Mueble elevado Básico LVM 63X48 puerta shaker,ELEVADO,Básico,63X48,NA,NA,PUERTA SHAKER,1,1b108bc5-092b-4383-b125-81a15716ab51,BAN05,0131,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 sin manijas.svg,Mueble elevado Básico LVM 63X48 sin manijas,ELEVADO,Básico,63X48,NA,NA,NA,4,dd4511b3-d6b9-4df7-9d91-44084b39fca8,BAN05,0123,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=4; would_overwrite_refs=4; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79x48 con manijas.svg,Mueble elevado Básico LVM 79x48 con manijas,ELEVADO,Básico,79X48,CON MANIJAS,NA,NA,1,120d4b24-8836-4376-961c-c408fc52a6ed,BAN05,0032,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79X48 sin manijas.svg,Mueble elevado Básico LVM 79X48 sin manijas,ELEVADO,Básico,79X48,NA,NA,NA,4,c3f1e8ba-d468-4614-b464-8cda3eb401b8,BAN05,0107,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=4; would_overwrite_refs=4; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Calder LVM 48X43 sin manijas.svg,Mueble elevado Calder LVM 48X43 sin manijas,ELEVADO,Calder,48X43,NA,NA,NA,2,3a26e977-7862-4d2a-b6e6-d726b74bcefd,BAN05,0139,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Da Vinci LVM 48X43.svg,Mueble elevado Da Vinci LVM 48X43,ELEVADO,DA VINCI,48X43,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble elevado Da Vinci LVM | 48X43 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas.svg,Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas,ELEVADO,Eurocaribe,44.5X43.5,NA,NA,NA,1,8130f2c3-52d3-43c5-8284-7e95fd85b1de,BAN05,0137,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 124x48.svg,Mueble elevado Greco class LVM 124x48,ELEVADO,Greco,124X48,NA,CLASS,NA,3,0b06220d-55ff-4320-9061-92cffd44cf45,BAN12,0011,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 63x48.svg,Mueble elevado Greco class LVM 63x48,ELEVADO,Greco,63X48,NA,CLASS,NA,3,600b69ac-6bbf-45d9-8350-4da825c4a035,BAN22,0005,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 79x48.svg,Mueble elevado Greco class LVM 79x48,ELEVADO,Greco,79X48,NA,CLASS,NA,3,c0c0f060-25bf-4895-a954-3718ebf5fb4b,BAN22,0006,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 94x48.svg,Mueble elevado Greco class LVM 94x48,ELEVADO,Greco,94X48,NA,CLASS,NA,2,930d2fb7-18b0-451b-a78b-a5be8c58e901,BAN22,0007,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=2; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco LVM 124X48.svg,Mueble elevado Greco LVM 124X48,ELEVADO,Greco,124X48,NA,NA,NA,3,0b06220d-55ff-4320-9061-92cffd44cf45,BAN12,0011,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class  LVM 124X48.svg,Mueble elevado Macao class  LVM 124X48,ELEVADO,Macao,124X48,NA,CLASS,NA,4,fc2843f7-0852-4ccb-91ac-f6e336717adb,BAN12,0037,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=4; would_overwrite_refs=0; would_skip_refs=0
